1 uM CA,1 uM CDCA,1 uM DCA,1 uM LCA,10 uM A6940,10 uM CA,10 uM CDCA,10 uM DCA,10 uM E0893,10 uM LCA,10 uM P3865,10 uM Q1570,FF 1:300,MF 1:300,Ringers
0.0313729587029471,0.178593580909711,0.742735851028363,0.366043725388062,0.00143496858685693,0.224753959150684,0.116296020846815,0.904650211254391,0.388856294858021,0.646815704948691,0.110290920299856,0.573618508434294,0.262765390859283,0.702565033244904,NaN
0.119102295547326,0.581782560342939,0.202433150314792,0.785481876664731,0.0667419051928074,0.155989502235463,0.285682112328948,0.542879392206484,0.201265100141083,0.316910727379138,0.0693238814776091,0.832735080150697,0.10200215072472,0.224986067661427,NaN
0.584134241418669,0.884113254097749,0.708024650851408,0.843452027521507,0.44178566854225,0.862649637193771,0.8010513895308,0.835453889811872,0.420143363571442,0.706309682420676,0.450075031849972,0.845948109673961,0.817846168474211,0.292880733530864,NaN
0.777571866322749,0.180125632546735,0.0737567504729476,0.546869611556159,0.0454047912739825,0.703510352817029,0.229322960016897,0.391697263193778,0.0157111694870123,0.161296053884259,0.0666129718958556,0.122193620686057,0.106111815461152,0.0102148818866787,NaN
0.5537015286671,0.268076712627025,0.192974312169131,0.824308466705442,0.694402970483612,0.505874578811006,0.297236364790229,0.251980193774649,0.283880003268586,0.169631847415868,0.453550994443634,0.857299478696933,0.112903051051897,0.043036878642293,NaN
0.0860594793834432,0.196782808159607,0.652847704054171,0.261819510882504,0.248095591484471,0.0404282426499941,0.18304530330708,0.0228729127031395,0.0111004108872407,0.0157699190169114,0.0274838204565951,0.627284090453858,0.00551776935864698,0.000154213810509823,NaN
0.0211209232900904,0.000998812444948691,0.0452850187201748,0.575573239911253,0.463686049332259,0.0148691292625996,0.0582164774939676,0.00377384323580838,0.0929106437630312,0.00335037380618686,0.00761009461279398,0.0253644594288177,0.098051449754446,0.0112418442168352,NaN
0.184586595034242,0.426250616571716,0.132437721599106,0.420660043656578,0.150401703011669,0.143209481965766,0.147508112778681,0.00281597888601228,0.0613875985723055,0.137481521720696,0.0899557664194618,0.234392278560954,0.110829850550223,0.0193358964402352,NaN
0.173623453376236,0.176528031920949,0.08601792797015,0.761757503514004,0.0198206370111664,0.00536880901993139,0.651014667494209,0.000171067529637276,0.0219612279592701,0.60407430399072,0.22576856946504,0.000290810931878977,0.34298516182875,0.216799591914098,NaN
0.746638567973869,0.822594690546037,0.50712802939064,0.812379832502647,0.0768450869239198,0.0691449588880859,0.885496787669622,0.0240681821277167,0.376268807295726,0.819525688494494,0.761793526604283,0.00777783042845716,0.813842938790536,0.256505517171362,NaN
0.15129990240116,0.138563060454353,0.184816668388768,0.145829475924099,0.124933995691766,0.0109958715140051,0.636198467693451,0.0973804925769394,0.0816439210660207,0.482874395047029,0.0679560685412046,0.0107869854729584,0.0112090565824894,0.0379596799538755,NaN
0.162245305334963,0.32215429497011,0.162859403157199,0.371460565149255,0.640064564440691,0.290213638249404,0.741963038300095,0.122773988783736,0.0330418302681208,0.106018392066467,0.106138298088086,0.00672322989776316,0.223502538096862,0.122410239114409,NaN
0.784234521237247,0.798506340696131,0.730825437620965,0.768919757270035,0.785623674304572,0.631372408585454,0.73583113741924,0.61255325436023,0.186259012524087,0.680135830166161,0.280016837623448,0.740448601040069,0.686092137763986,0.535249800486707,NaN
0.366292169217805,0.735958176106951,0.524912604697426,0.838731246249237,0.100136538667397,0.263992224369157,0.0216404953777056,0.211664335346989,0.00130123106373767,0.201162774836552,0.0508886865214567,0.0933670142009685,0.0452029688324783,0.0458520139380252,NaN
0.158923767479294,0.300646716620655,0.142822151197789,0.777392782555378,0.110340688847754,0.0454509849224339,0.104000379278696,0.133991765478603,0.0158153042605717,0.0904780323451096,0.0809739239809778,0.0897593044794745,0.109397205125135,0.0620200283567241,NaN
0.108341333742324,0.128915383693943,0.0863959193251351,0.346181341668427,0.269213879437899,0.171327560689059,0.0752215425869427,0.111985577630583,0.0213078628438067,0.154278886431893,0.0405020394504377,0.108770362358891,0.134840776938881,0.0765948939019887,NaN
0.334956693782711,0.414725811756002,0.323042148832714,0.259256813049202,0.318604898611464,0.263278341521748,0.296456950577166,0.232267839188515,0.0253561963135471,0.212590073808732,0.0419967791018722,0.301342296817661,0.195598520145356,0.12902243182712,NaN
0.314917415767289,0.654400038279914,0.433321765088346,0.252993413269562,0.338365411215828,0.501357308878278,0.204487651470836,0.612134384512611,0.0435581082372506,0.237132498308151,0.00846597089266762,0.498193332199341,0.487568745662365,0.501069144851372,NaN
0.11815570647737,0.0266730181736301,0.367197060189135,0.308861295848488,0.092055207246477,0.0811962784338061,0.0699377663669517,0.00481712970687248,0.0430084879210945,0.137833132298395,0.0179380939434981,0.029383638345518,0.0242098141685211,0.0246785869745313,NaN
0.364767908000984,0.0253690770075641,0.275843109401127,0.225718531924342,0.189330401666017,0.0635963809519029,0.04954526585787,0.183810273764721,0.0117583187985256,0.0871743132944255,0.189991209905232,0.0295079058731213,0.0521975232386717,0.134534626099215,NaN
0.676782636904378,0.160381220240292,0.290664547328552,0.729248544765389,0.545608929148522,0.524895657377919,0.484164449128279,0.172275233804479,0.439107665860834,0.559185658809531,0.0945682838823378,0.0872777464086883,0.250888472129089,0.419201294544735,NaN
